Query,ALL categories
peter brown,people;1|entertainment;1|tv;0.9|movie;0.9
harry potter school photo,education;1|entertainment;1|place;0.9|others (Hogwarts imagery);0.8
trading view,finance;1|technology;1|company;0.9|others;0.8
upschorship,education;1|finance;1|others;0.8
describe one practical application of convex mirrors in everyday life,education;1|others (practical applications);1|technology;0.8
sutter health online,health;1|company;0.9|navigational;0.9|local;0.8
"ojai valley inn: ojai, california",travel;1|local;1|location_sensitivity;1|company;0.8
ross vs kentfield,place;1|local;1|others (real estate);0.9|location_sensitivity;1
getcontact/manage,navigational;1|company;0.9|technology;0.8|others (privacy management);0.7
anne egbadon and husband images,people;1|entertainment;0.9|navigational;0.8|others (images);0.7
chitaqua lectures 2024 eku,education;1|entertainment;0.8|others (lectures);0.7
cool math,education;1|entertainment;0.9|others (math games);0.8|navigational;0.7
sci space,technology;1|education;0.8|others (research papers);0.7
lenormand,entertainment;1|others (tarot reading);0.9|people;0.8|education;0.7
adults full movies to watch free,adult;1|movie;1|entertainment;1|tv;0.8
unitek outlook email,navigational;1|education;1|company;0.9
cardiff airport,place;1|local;1|travel;0.9|company;0.8
join prime deals,shopping;1|company;0.9|finance;0.8|entertainment;0.7
caculator online,technology;1|others (calculators);0.9
galaxy phone camera night time settings outdoor christmas lights,technology;1|entertainment;0.9|others (photography);0.8|local;0.7
maintaining a healthy weight handout,health;1|education;0.8|others (nutrition);0.7|local;0.6
laborator analize clipart,shopping;1|others;0.9|education;0.8|health;0.7
movie mayerling with omarsherif,movie;1|entertainment;1|people;0.8|tv;0.6
dougie liv and maddie,entertainment;1|tv;1|people;0.9|others (tv show relationship);0.8
the island,movie;1|entertainment;1|tv;0.8
base entertainment wikipedia,company;1|entertainment;1|people;0.8|movie;0.7
free youtube downloader for laptop,technology;1|entertainment;1|shopping;0.9
sinhala sanyaka akuru,education;1|entertainment;0.8|dictionary;0.7|others (language learning);0.6
design png free,shopping;1|others (design);0.9|technology;0.8
kansas city chiefs highlights\,sports;1|entertainment;1|tv;0.9
political issues in 2024,political issues in 2024|Others (politics);1|Education;0.8|Finance;0.7|Location Sensitivity;0.6
www.metlife.com/mybenefits,navigational;1|company;0.9|finance;0.8
utility billing services pay bill,local;1|finance;1|navigational;1|company;0.9
illum bolighus kastrup light,shopping;1|company;1|navigational;1|local;0.9
moberly weather,location_sensitivity;1|local;1|others (weather);1|company;0.8
save grace ep 3,tv;1|entertainment;1|others (saving grace);0.9
glencara jewelry complaints,company;1|shopping;1|others (jewelry complaints);0.9
seescandies.com,navigational;1|shopping;1|company;0.9|others (candies and chocolates);0.8
wicked reviews,movie;1|entertainment;1|others (reviews);0.8
insufficient petticoats emote ff14,entertainment;1|others (gaming);0.9|place;0.7|shopping;0.6
ruggable,shopping;1|company;0.9|location_sensitivity;0.8|others (home decor);0.7
guesstures game,entertainment;1|shopping;0.9|company;0.8|others (board games);0.7
astronomy camera selection guide,technology;1|shopping;1|education;0.8|others (astronomy);0.7
jili777,gaming;1|entertainment;1|company;0.8|others (casino);0.7
he thong truc tuyen,education;1|others (online learning);0.9
between season sub indo,entertainment;1|tv;1|others (manga);1
rs jec orbita makassar,health;1|local;1|place;1|location_sensitivity;1
rudulpf and bumbal,entertainment;1|tv;1|movie;1|others (animations);0.9
gmail account,navigational;1|company;1|technology;0.9
