Query,Titles,All Categories,LLM Review
what is roblox,"['Roblox - Wikipedia', 'What is Roblox? Here’s everything you need to know | CNN ...', 'Roblox']","['navigational', ' entertainment']","WRONG:,MISSING:education|entertainment|company"
mg,"['MG cars - Wikipedia', 'Myasthenia Gravis: What It Is, Causes, Symptoms & Treatment', 'Welcome to MG | MG MOTOR UK']",['others'],"WRONG:,MISSING:automotive|health"
nfl winners,"['List of Super Bowl champions - Wikipedia', 'Super Bowl Winners by Year - ESPN', 'Super Bowl History - Pro-Football-Reference.com']",['sports'],"WRONG:,MISSING:others|location_sensitivity"
alexander the great,"['Alexander the Great - Wikipedia', 'Alexander the Great | Biography, Empire, Death, & Facts ...', 'Alexander the Great: Empire & Death - HISTORY']",['people'],"WRONG:,MISSING:place|others"
netflix series south africa,"['Made in South Africa | Netflix Official Site', 'Top 10 best series on Netflix from South Africa to watch', 'Top 10 Most Popular TV Shows on Netflix in South Africa']","['entertainment', ' tv']","WRONG:,MISSING:location_sensitivity"
difference between a xylophone and a mirimba,"['What is the difference between the marimba and the xylophone?', 'Xylophone Vs Marimba – What Is the Difference Between Them?', 'Xylophone Vs Glockenspiel Vs Marimba Vs Vibraphone Vs ...']",['entertainment'],"WRONG:,MISSING:education"
"if i had retina detached surgery, what should i expect and how should i handle it?","['Detached Retina Recovery Process, Timeline, and Outlook', 'Recovering from Retinal Detachment: What to Expect', 'Recovering from Retinal Detachment Surgery: What to Expect']",['health'],"WRONG:,MISSING:others"
what does impression mean in medical terms,"['What is The Impression In A Report - Radiology In Plain English', 'What\'s the different between ""finding"" and ""impression"" on ...', 'Impression | Explanation - BaluMed']",['health'],"WRONG:,MISSING:dictionary"
sun top protecctector men,"['The Best 6 Sun Protection Shirts of 2024 | Tested - GearLab', 'The Best Sun Protection Clothing of 2024 | Reviews by Wirecutter', ""Men's Sun Protective Shirts by Patagonia""]",['shopping'],"WRONG:,MISSING:health"
keowee key salem sc,"['Home | Lakeside and retirement community - Keowee Key - Salem, SC', 'Keowee Key - Salem SC Real Estate - 122 Homes For Sale - Zillow', 'Homes for sale in Keowee Key - Keowee Key - Salem, SC']","['local', ' location_sensitivity']","WRONG:,MISSING:place|others"
gucci 397660 belt for women pearl,"['Black Leather Belt With Pearl Double G | GUCCI® US', 'GG Marmont wide belt with pearls in Black Leather | GUCCI® SI', 'Gucci Double G Wide Leather Belt Antique Brass Buckle 1.5 ...']",['shopping'],"WRONG:,MISSING:shopping"
bubble shooter,"['Bubble Shooter - Play the game for free', 'Bubble Shooter - Click here to play for free', 'Bubble Shooter - Play Online for Free | Arkadium']",['entertainment'],"WRONG: ,MISSING:game"
pork tenderloin recipes,"['Best Damn Oven Roasted Pork Tenderloin - RecipeTeacher', 'The Best Easy Pork Tenderloin - Allrecipes', '20 Best Pork Tenderloin Recipes - Ways to Cook Pork Tenderloin']",['others'],"WRONG:,MISSING:shopping|recipe|health"
gavel png,"['Gavel png images - PNGWing', 'Gavel Icons & Symbols - Flaticon', 'Gavel Png Images - Free Download on Freepik']",['technology'],"WRONG:technology,MISSING:others"
corcoran restaurants,"['The Best 10 Restaurants near Corcoran, CA 93212 - Yelp', 'Best Local Restaurants near Corcoran, CA - December 2024 ...', 'TOP 10 BEST Food near Corcoran, CA - Updated 2024 - Yelp']","['location_sensitivity', ' local']","WRONG:,MISSING:shopping|location_sensitivity|place"
thong bikini models,"['BEACH BUNNY Swim Resort 2021 Collection - YouTube', 'Bikini Models | Wicked Weasel', 'See Stars in the Skimpiest Bikinis of All Time: Photos']",['entertainment'],"WRONG:,MISSING:adult"
freelancer,"['Hire Freelancers & Find Freelance Jobs Online | Freelancer', 'Freelance Jobs and Projects | Freelancer', 'Freelance Jobs - Upwork']",['others'],"WRONG:others,MISSING:company"
a closer look,"['Mystery Shopping Service - A Closer Look', 'Late Night with Seth Meyers - YouTube', 'A Closer Look - Late Night with Seth Meyers - YouTube']","['navigational', ' local', ' location_sensitivity']","WRONG: local|location_sensitivity,MISSING:entertainment"
printify,"['Printify: Build your eCommerce business in minutes.', 'Create and Sell Printify Products With Your Designs', 'How It Works - On Demand Print and Drop Shipping for eCommerce']","['company', ' navigational']","WRONG:,MISSING:others|shopping"
